Detector Type,Descriptor Type,Average Keypoints,Matched Keypoints,Avg Descriptor t(ms),Avg Detector t(ms)
SHITOMASI,BRISK,117.9,85.2222,1.88528,14.0916
SHITOMASI,BRIEF,117.9,104.889,0.669775,11.723
SHITOMASI,ORB,117.9,100.889,1.31738,11.7331
SHITOMASI,FREAK,117.9,85.3333,30.2207,11.6527
SHITOMASI,SIFT,117.9,103,16.4505,12.1083
HARRIS,BRISK,56,43.6667,0.956531,10.9543
HARRIS,BRIEF,56,51.1111,0.45996,10.8992
HARRIS,ORB,56,50.1111,1.22202,10.9022
HARRIS,FREAK,56,44,30.7433,11.0697
HARRIS,SIFT,56,51,15.2316,10.9229
FAST,BRISK,149.1,99.8889,1.95599,1.23959
FAST,BRIEF,149.1,122.111,0.620395,1.17414
FAST,ORB,149.1,119,1.12693,1.18227
FAST,FREAK,149.1,97.5556,25.9139,1.20314
FAST,SIFT,149.1,116.222,16.9828,1.28359
BRISK,BRISK,276.2,174.444,3.07299,37.2134
BRISK,BRIEF,276.2,189.333,0.951298,35.3391
BRISK,ORB,276.2,168.222,5.3645,35.2182
BRISK,FREAK,276.2,169.333,26.7675,35.4772
BRISK,SIFT,276.2,182.889,24.9663,36.0973
ORB,BRISK,116.1,83.4444,1.60481,23.7704
ORB,BRIEF,116.1,60.5556,0.621004,8.49575
ORB,ORB,116.1,84.7778,6.20971,8.56612
ORB,FREAK,116.1,46.6667,30.0147,8.59295
ORB,SIFT,116.1,84.7778,30.5053,8.54921
AKAZE,BRISK,167,135,2.36254,57.6727
AKAZE,BRIEF,167,140.667,0.867913,59.7732
AKAZE,ORB,167,131.333,3.9352,61.4734
AKAZE,FREAK,167,131.889,32.92,58.692
AKAZE,SIFT,167,141.111,22.8612,55.8837
SIFT,BRISK,138.6,65.7778,1.87043,109.026
SIFT,BRIEF,138.6,78,0.714301,88.7002
SIFT,FREAK,138.6,65.8889,30.2921,86.4918
SIFT,SIFT,138.6,88.8889,81.331,88.7116
